region,channel,service_type,plan_type,customer_type,address_verified,network_available,inventory_available,credit_check_passed,installation_required,monthly_charge,previous_failed_orders,order_result
East,Online,DSL,Premium,Existing,1,1,1,1,0,92.79902634066349,1,0
West,Online,Fiber,Premium,New,1,1,1,1,1,124.02593454064632,0,0
North,Phone,Fiber,Basic,Existing,1,1,1,1,1,150.07338434273964,0,0
East,Online,DSL,Standard,New,1,1,1,1,0,138.44700879336042,2,0
East,Online,5G,Standard,Existing,1,0,1,1,0,138.89608633516954,0,0
West,Phone,Fiber,Premium,Existing,1,1,1,1,0,55.993084728996706,1,0
North,Online,Fiber,Basic,Existing,1,1,1,1,1,156.63914615597798,0,0
North,Online,DSL,Premium,New,1,1,1,1,0,153.87029929335836,1,0
East,Phone,5G,Premium,New,0,1,1,1,1,58.52107228445288,1,0
South,Phone,Fiber,Basic,New,1,1,1,1,0,46.974288121397585,0,0
East,Store,Fiber,Premium,New,1,0,1,1,0,197.24804017120738,1,0
East,Online,5G,Standard,New,0,0,1,1,0,159.39865964975996,0,1
East,Store,Fiber,Premium,Existing,1,1,1,1,1,136.92414971351747,0,0
East,Store,5G,Basic,New,1,1,1,1,1,90.59984850032404,1,0
West,Phone,DSL,Standard,New,0,1,0,1,0,84.10519647003996,2,1
North,Online,Fiber,Standard,New,1,1,1,1,1,61.65968627668518,0,0
West,Online,DSL,Premium,Existing,1,1,1,1,0,137.36691172084866,0,0
West,Phone,5G,Standard,Existing,1,1,1,1,0,132.15737113055246,0,0
West,Store,DSL,Basic,Existing,1,1,1,1,0,189.68055039259121,0,0
East,Phone,DSL,Premium,New,1,1,1,1,0,140.4504786665691,1,0
South,Online,DSL,Standard,New,1,0,1,1,1,112.23337482446328,1,0
North,Phone,5G,Basic,Existing,1,1,1,0,1,183.56684429909498,1,0
South,Online,5G,Premium,New,1,1,1,1,0,138.24895299095084,3,0
West,Store,5G,Basic,New,1,1,1,1,1,154.2806085216456,2,0
West,Online,5G,Standard,New,1,1,1,0,0,140.26681039964174,0,0
South,Store,5G,Premium,New,0,1,1,1,0,67.1102478300227,1,0
South,Store,Fiber,Premium,New,1,1,1,1,0,59.81601956286365,1,0
South,Online,Fiber,Standard,Existing,1,1,1,1,0,139.93189768126052,0,0
West,Online,Fiber,Basic,Existing,1,1,1,0,0,186.24104807005529,0,0
West,Store,DSL,Standard,Existing,1,1,1,1,0,194.18508176783683,0,0
North,Phone,DSL,Premium,New,1,1,1,1,1,199.26695515011625,0,0
North,Online,5G,Premium,Existing,0,1,0,1,1,175.03961272647072,0,0
West,Store,5G,Standard,New,1,1,1,1,1,98.22193290242664,0,0
South,Store,Fiber,Basic,Existing,1,1,1,1,1,138.16303860728698,0,0
South,Phone,5G,Standard,New,1,1,1,1,0,137.44884467279542,2,0
North,Online,DSL,Basic,New,1,1,1,1,0,126.00832691791109,0,0
West,Store,5G,Basic,Existing,1,1,1,1,1,158.73036080300022,1,0
North,Phone,Fiber,Premium,Existing,1,1,0,1,0,67.19769851442841,1,0
North,Store,5G,Basic,Existing,1,1,1,1,0,70.1903002515981,0,0
East,Online,DSL,Premium,New,0,1,1,1,1,191.14728245630988,1,0
East,Phone,Fiber,Basic,Existing,0,1,1,1,0,174.37745152771666,0,0
East,Store,5G,Basic,Existing,1,1,1,1,1,170.96326233032323,1,0
South,Phone,DSL,Premium,Existing,1,1,1,1,0,117.29715212221576,1,0
West,Online,Fiber,Basic,Existing,1,1,1,1,1,130.8428943849844,0,0
West,Phone,Fiber,Standard,New,1,1,1,1,1,139.9836795686054,1,0
West,Online,DSL,Basic,New,1,0,1,1,0,87.03595478670563,0,0
West,Store,5G,Premium,New,1,1,1,0,0,87.15407806771616,0,0
East,Online,5G,Premium,Existing,0,1,0,1,0,68.78012454295995,1,0
South,Store,5G,Standard,Existing,1,1,0,1,0,129.6309477085718,0,0
South,Store,Fiber,Basic,Existing,1,1,0,1,1,66.16258918870103,0,0
East,Online,Fiber,Standard,New,1,1,1,1,0,72.18329564483498,1,0
South,Store,5G,Basic,Existing,1,1,1,1,1,184.405301061167,1,0
East,Phone,Fiber,Standard,New,1,1,1,1,1,124.15377273473821,0,0
West,Store,Fiber,Premium,Existing,1,1,0,1,0,139.05112154136845,0,0
East,Online,DSL,Premium,New,1,1,1,1,0,61.487245626027246,0,0
West,Phone,5G,Standard,New,1,1,1,1,0,72.97015838024869,0,0
West,Phone,5G,Basic,Existing,1,1,0,1,1,55.71730104638134,0,0
North,Store,5G,Basic,Existing,1,1,1,1,0,83.44249008243901,0,0
East,Store,Fiber,Premium,New,1,1,1,1,0,181.04790398027922,2,0
North,Online,Fiber,Basic,New,1,1,1,1,0,182.18393838327094,1,0
East,Phone,Fiber,Standard,Existing,1,1,1,1,1,147.77432227981564,0,0
East,Online,5G,Standard,New,1,1,1,1,0,180.10959350446115,1,0
North,Store,Fiber,Basic,Existing,1,1,0,1,0,70.55065638038431,0,0
North,Phone,5G,Premium,Existing,1,1,0,1,1,63.67886097705055,0,0
East,Online,Fiber,Premium,New,1,1,1,1,1,162.48054586475823,0,0
South,Online,5G,Premium,New,1,1,1,1,0,198.34384494426502,1,0
West,Online,DSL,Premium,Existing,1,1,1,1,1,154.82318460966596,1,0
North,Online,Fiber,Premium,New,1,1,1,1,1,45.92428085265361,1,0
West,Online,5G,Standard,New,1,1,1,1,1,69.42000079705937,0,0
South,Phone,DSL,Basic,Existing,1,1,0,1,1,79.60080217734733,0,0
South,Online,DSL,Standard,New,1,1,1,1,0,107.64105558229893,1,0
South,Phone,Fiber,Premium,New,1,1,0,1,0,75.35102806850546,0,0
North,Online,5G,Premium,New,1,0,1,1,0,49.700613635133465,2,1
South,Store,Fiber,Basic,New,1,1,1,1,0,81.33244791494691,1,0
North,Store,DSL,Basic,Existing,0,1,0,1,1,96.15598437363576,1,0
South,Online,Fiber,Basic,New,1,1,1,1,0,85.37768637398057,0,0
West,Store,5G,Standard,New,1,1,1,1,0,44.44871797063924,1,0
West,Phone,DSL,Basic,New,0,1,1,1,1,188.4180699895112,0,0
East,Online,Fiber,Standard,New,1,1,0,0,0,126.62243523478061,0,1
West,Phone,Fiber,Premium,Existing,1,1,1,1,1,175.76793860064558,1,0
East,Online,Fiber,Standard,Existing,1,1,1,1,0,42.469087417010826,0,0
West,Store,Fiber,Basic,Existing,1,1,1,1,1,167.53145248998038,0,0
North,Phone,Fiber,Standard,New,1,1,1,1,1,152.71106651235212,0,0
West,Store,DSL,Standard,Existing,1,1,1,1,0,196.3357104724456,1,0
East,Store,DSL,Standard,Existing,1,1,0,1,1,58.34703789299185,0,0
East,Online,5G,Basic,New,1,1,1,1,0,142.82425592485458,0,0
South,Phone,Fiber,Standard,New,1,0,1,1,0,43.38941799434391,4,1
North,Store,5G,Basic,Existing,1,1,0,1,1,97.11832434787922,1,0
West,Online,DSL,Standard,Existing,0,1,1,1,1,141.72169760941415,0,0
South,Online,Fiber,Standard,New,1,1,1,1,1,189.13389708752516,0,0
West,Online,5G,Standard,New,1,1,1,1,0,53.265264378843696,0,0
West,Store,Fiber,Basic,New,1,1,1,1,0,118.2800440325135,1,0
South,Online,Fiber,Basic,Existing,1,1,1,1,1,78.14137643507122,1,0
South,Phone,5G,Basic,New,1,1,1,1,0,74.59840721580665,1,0
South,Phone,DSL,Premium,Existing,1,1,1,1,0,150.12900018731318,3,0
South,Store,5G,Basic,Existing,1,1,1,1,0,44.363217408740766,0,0
South,Phone,5G,Standard,Existing,0,1,1,1,0,141.08234020721673,1,0
West,Online,5G,Premium,New,1,0,1,1,0,65.98055783039558,0,0
South,Store,Fiber,Basic,Existing,1,1,1,1,0,42.35928930431987,2,0
North,Online,DSL,Basic,Existing,1,1,1,1,1,126.99456340403512,0,0
East,Store,DSL,Premium,Existing,1,1,0,1,0,57.98284185480527,1,0
South,Store,Fiber,Premium,Existing,1,1,1,1,0,129.8376219553685,0,0
South,Online,DSL,Basic,New,1,1,1,1,1,84.87705526808861,0,0
West,Phone,5G,Premium,Existing,1,1,1,1,1,84.61099192794828,1,0
South,Phone,DSL,Standard,New,1,1,0,1,0,168.85939427198275,1,0
South,Store,Fiber,Standard,New,1,1,1,1,0,153.88935901410656,1,0
South,Online,DSL,Standard,Existing,1,1,1,1,0,172.43681630745863,0,0
West,Online,Fiber,Basic,Existing,1,1,1,1,0,107.99970014932447,0,0
South,Store,5G,Standard,New,1,1,1,1,0,57.97580434776606,1,0
East,Phone,Fiber,Premium,New,0,1,1,1,0,162.16216934327431,1,0
West,Online,DSL,Standard,New,0,1,1,1,0,178.74674338095997,1,0
East,Phone,5G,Premium,New,0,1,1,1,0,134.06531022848696,1,0
West,Phone,DSL,Standard,Existing,1,1,1,1,0,75.26673946844855,1,0
South,Store,Fiber,Premium,Existing,1,1,1,1,0,162.6869137909946,0,0
East,Store,5G,Standard,Existing,0,0,1,1,0,47.07674458722121,0,1
West,Phone,Fiber,Standard,Existing,0,1,1,1,0,95.01712138962198,2,0
North,Online,DSL,Standard,New,1,1,1,1,1,102.52972679571542,2,0
South,Online,Fiber,Premium,New,1,1,1,1,0,93.04770101447826,1,0
West,Store,DSL,Premium,Existing,1,1,0,1,0,191.1739843985013,1,0
North,Phone,DSL,Standard,Existing,0,1,1,1,1,173.1589929428925,1,0
West,Online,5G,Premium,Existing,1,1,1,1,0,124.86424264459431,1,0
North,Online,5G,Premium,New,0,0,1,1,0,189.62333338869587,0,1
South,Store,Fiber,Basic,Existing,1,0,1,1,0,64.9700261323229,0,0
East,Phone,DSL,Standard,New,1,1,0,1,0,55.4246060973826,1,0
North,Online,DSL,Premium,New,1,1,0,1,1,101.54925337243141,1,0
West,Store,5G,Premium,New,1,1,1,1,0,198.54632361281685,0,0
South,Online,5G,Premium,New,1,1,1,1,1,184.591936681599,1,0
North,Online,5G,Premium,Existing,1,1,1,1,0,75.50579872000007,0,0
West,Online,5G,Basic,New,1,1,1,1,1,188.8019357449471,1,0
West,Store,Fiber,Premium,New,1,1,0,1,0,140.9775160735112,0,0
West,Phone,Fiber,Premium,Existing,1,0,1,0,1,89.46568329266653,0,1
North,Store,Fiber,Basic,Existing,1,1,1,1,1,170.76301859134983,0,0
North,Phone,Fiber,Standard,New,1,1,1,1,1,177.0738078921763,1,0
North,Online,5G,Standard,Existing,1,1,0,1,0,40.080827482844214,0,0
East,Phone,Fiber,Basic,Existing,0,0,1,1,0,61.55216294279663,0,1
North,Online,Fiber,Standard,New,1,1,1,1,0,159.90562844016026,2,0
North,Online,Fiber,Standard,Existing,1,0,1,1,1,137.93790588340684,1,0
North,Store,5G,Basic,New,1,0,1,1,1,81.81399497826455,2,1
East,Online,DSL,Premium,New,1,1,1,1,0,83.9428311213665,1,0
North,Store,5G,Basic,Existing,0,1,1,1,1,57.76968334149268,0,0
West,Phone,DSL,Basic,Existing,1,1,1,1,0,108.37171353673088,1,0
North,Phone,DSL,Basic,Existing,1,0,1,1,0,49.81938797979028,1,0
West,Online,Fiber,Basic,New,1,0,1,1,1,149.39099674603665,0,0
West,Store,Fiber,Basic,Existing,1,1,1,0,0,79.25863023087955,1,0
West,Online,Fiber,Premium,New,1,1,1,1,1,180.98591324291692,0,0
East,Store,5G,Standard,Existing,0,1,1,1,1,55.190666351699264,1,0
East,Store,5G,Basic,New,1,1,1,1,0,150.72610456651688,1,0
East,Store,Fiber,Premium,Existing,1,1,1,0,0,179.2965766961205,1,0
North,Phone,5G,Basic,New,1,1,1,1,0,152.6508283262024,0,0
West,Store,5G,Premium,Existing,1,1,1,1,0,188.19149320676337,1,0
East,Phone,DSL,Standard,Existing,1,1,1,0,0,92.5684365693979,1,0
East,Store,5G,Premium,Existing,1,1,1,1,1,61.63236998601499,2,0
North,Phone,DSL,Premium,Existing,1,1,0,1,1,95.93336123709915,0,0
East,Phone,Fiber,Standard,Existing,1,1,1,1,0,135.38420881333118,1,0
North,Phone,5G,Standard,New,0,1,1,1,1,191.32298937313013,1,0
South,Online,DSL,Premium,New,1,0,0,1,0,87.28405900910131,1,1
East,Store,5G,Basic,Existing,1,1,1,1,0,149.66352526486452,0,0
South,Online,DSL,Basic,New,1,1,1,1,0,56.09549709692993,0,0
North,Store,DSL,Standard,New,1,1,1,1,0,82.90113196317722,0,0
West,Store,5G,Basic,Existing,1,1,0,1,0,65.56426262860974,2,0
East,Online,Fiber,Standard,Existing,1,0,1,1,0,116.58044910630069,0,0
North,Phone,DSL,Premium,New,1,1,1,0,1,189.88570702851194,0,0
West,Store,Fiber,Premium,New,1,1,1,1,0,186.42043681114242,0,0
West,Phone,5G,Basic,Existing,0,1,1,1,0,108.34049197232704,2,0
South,Online,5G,Standard,Existing,0,1,1,1,1,177.2200764800981,0,0
North,Phone,Fiber,Basic,Existing,1,1,1,1,0,109.03620656906216,0,0
